Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.211,0.063476,16.48,42.99,0.786,3.729,4119.6
0.201,0.060641,14.57,40.2,0.844,4.189,4119.6
0.193,0.058215,19.7,36.62,0.783,4.047,3156.1
0.219,0.065789,9.16,47.45,0.845,3.865,5980.1
0.221,0.066605,14.33,46.09,0.887,4.01,3455.2
0.187,0.056309,14.8,35.94,0.848,4.533,3554.8
0.205,0.061707,5.86,45.88,0.823,4.015,3953.5
0.195,0.058645,10.07,41.36,0.751,3.853,3720.9
0.184,0.055432,9.57,40.16,0.817,4.438,3189.4
0.194,0.058261,16.02,39.98,0.761,3.93,4485.0
0.214,0.064329,18.56,41.99,0.838,3.92,3554.8
0.217,0.065169,20.16,40.94,0.852,3.936,3421.9
0.202,0.060938,15.18,40.5,0.842,4.161,3289.0
0.184,0.05548,13.85,37.08,0.77,4.176,3322.3
0.2,0.060082,18.14,39.15,0.796,3.985,3488.4
0.228,0.068551,19.72,42.21,0.819,3.598,5249.2
0.225,0.067759,17.4,46.73,0.875,3.887,5215.9
0.23,0.069229,24.9,40.99,0.991,4.311,4784.1
0.193,0.057999,16.9,37.7,0.749,3.885,3654.5
0.213,0.064041,23.18,39.88,0.887,4.171,3986.7
0.202,0.060897,13.33,41.44,0.834,4.124,3654.5
0.23,0.069262,19.37,46.62,0.82,3.564,3488.4
0.224,0.067372,8.91,47.94,0.958,4.281,3687.7
0.216,0.064918,21.23,40.8,0.792,3.671,3654.5
0.193,0.058171,16.93,37.88,0.746,3.86,3156.1
0.217,0.065181,12.02,46.88,0.896,4.14,3621.3
0.209,0.062981,21.6,40.29,0.808,3.863,4119.6
0.221,0.066465,20.72,41.03,0.861,3.899,3521.6
0.208,0.062734,21.45,36.85,0.723,3.468,3621.3
0.188,0.056626,18.49,35.49,0.823,4.373,3986.7
0.204,0.061308,15.84,40.28,0.765,3.756,4651.2
0.203,0.061,14.38,41.29,0.771,3.803,3388.7
0.226,0.068044,13.3,48.6,0.818,3.617,4285.7
0.201,0.060387,18.36,39.54,0.807,4.021,3289.0
0.183,0.055043,14.0,36.04,0.777,4.25,3488.4
0.207,0.062234,22.21,36.71,0.744,3.597,3388.7
0.2,0.060072,18.82,38.65,0.802,4.019,3687.7
0.205,0.061822,15.64,43.32,0.737,3.589,5016.6
0.2,0.060208,19.18,37.99,0.829,4.144,3023.3
0.213,0.063983,20.73,38.64,0.759,3.572,3654.5
0.21,0.063359,21.35,40.63,0.893,4.244,3421.9
0.201,0.060626,17.0,37.93,0.712,3.536,3953.5
0.228,0.068764,16.88,47.35,0.817,3.576,3588.0
0.191,0.057606,13.91,38.27,0.848,4.431,3289.0
0.192,0.057696,17.44,35.88,0.731,3.815,6611.3
0.207,0.062168,18.73,39.76,0.786,3.804,3687.7
0.206,0.061975,20.27,39.29,0.863,4.193,3089.7
0.197,0.059414,15.26,39.07,0.832,4.213,3654.5
0.192,0.057664,15.62,37.73,0.772,4.032,3122.9
0.194,0.058536,14.46,40.18,0.788,4.053,3388.7
0.193,0.057973,4.84,42.18,0.737,3.828,2890.4
0.191,0.057397,16.48,36.71,0.81,4.248,3820.6
0.187,0.056267,14.54,38.73,0.748,4.004,3986.7
0.176,0.053054,13.67,34.51,0.774,4.391,3887.0
0.214,0.064429,25.38,37.19,0.763,3.566,2923.6
0.198,0.059679,15.12,39.33,0.92,4.641,3156.1
0.225,0.067777,16.25,42.96,0.949,4.212,4019.9
0.195,0.058839,17.06,38.24,0.789,4.035,6877.1
0.193,0.058004,17.17,37.25,0.876,4.546,3455.1
0.217,0.065223,16.07,42.45,0.94,4.337,3355.5
0.199,0.05983,20.78,37.16,0.749,3.767,3554.8
0.195,0.058831,14.72,38.18,0.708,3.624,3122.9
0.197,0.059425,14.79,39.74,0.721,3.651,5548.2
0.189,0.056965,12.83,37.61,0.685,3.622,3787.4
0.208,0.062511,15.73,41.17,0.852,4.104,5348.8
0.215,0.064766,14.26,43.18,0.707,3.288,4186.1
0.197,0.059263,14.66,38.86,0.824,4.187,3654.5
0.192,0.057866,16.74,36.7,0.782,4.067,3455.1
0.209,0.063017,20.08,40.01,0.798,3.811,3654.5
0.197,0.059178,14.48,38.84,0.858,4.363,3388.7
0.196,0.058958,16.56,37.89,0.861,4.394,3787.4
0.203,0.061121,17.98,37.64,0.733,3.609,3588.0
0.197,0.059273,10.28,40.09,0.733,3.724,3488.4
0.188,0.056735,15.75,35.92,0.751,3.985,3322.3
0.183,0.05502,16.42,34.54,0.759,4.152,3521.6
0.215,0.064613,18.91,37.86,0.965,4.497,5149.5
0.192,0.057781,9.71,38.41,0.96,5.002,3853.8
0.217,0.065171,9.97,45.88,0.847,3.913,10099.7
0.201,0.060589,21.55,37.74,0.804,3.996,3887.0
0.189,0.056815,19.22,35.55,0.815,4.315,3222.6
0.198,0.05961,21.44,36.86,0.718,3.624,3687.7
0.217,0.065186,8.91,45.19,0.715,3.301,3754.1
0.211,0.063501,11.71,43.89,0.75,3.554,3787.4
0.189,0.056895,16.48,35.85,0.753,3.985,4019.9
0.195,0.058772,15.72,38.32,0.745,3.817,4318.9
0.194,0.058532,20.22,36.36,0.725,3.727,3787.4
0.208,0.062648,8.58,44.71,0.754,3.622,8239.2
0.184,0.055389,13.85,35.91,0.748,4.063,3122.9
0.214,0.064342,21.59,37.35,0.816,3.816,4019.9
0.209,0.063041,16.49,40.32,0.696,3.324,6511.6
0.214,0.064411,22.03,40.42,0.819,3.829,3953.5
0.219,0.065922,19.4,40.39,0.78,3.563,3754.2
0.228,0.06848,23.03,40.26,0.926,4.072,6644.5
0.219,0.065802,23.12,38.55,1.061,4.853,4584.7
0.219,0.065906,18.4,42.76,0.795,3.633,3554.8
0.184,0.055304,6.49,40.87,0.688,3.747,3687.7
0.226,0.067944,12.49,44.88,0.782,3.465,5548.2
0.225,0.067696,23.73,38.63,0.75,3.333,3488.4
0.219,0.06599,10.22,46.21,0.855,3.901,3820.6
0.206,0.061899,5.02,43.96,0.746,3.625,8538.2
0.211,0.063654,10.68,45.51,0.841,3.975,6578.1
0.187,0.056357,12.94,36.88,0.718,3.832,3322.3
0.2,0.060298,7.18,42.98,0.683,3.408,4019.9
0.207,0.062269,17.37,39.2,0.766,3.701,3289.0
0.199,0.059981,14.49,40.97,0.829,4.162,3023.3
0.212,0.063827,22.5,36.3,0.842,3.97,5348.8
0.192,0.057905,14.54,37.16,0.776,4.034,3853.8
0.184,0.055335,11.88,36.29,0.741,4.03,4219.3
0.215,0.064826,14.09,42.02,0.684,3.175,3986.7
0.222,0.066734,15.93,41.31,0.691,3.116,6744.2
0.193,0.058063,19.15,35.97,0.723,3.749,5980.1
0.224,0.067318,12.01,44.51,0.89,3.981,6777.4
0.2,0.060336,18.12,38.15,0.706,3.522,3787.4
0.224,0.067541,21.33,41.23,0.8,3.567,4451.8
0.23,0.06912,21.23,43.01,0.817,3.557,4352.2
0.205,0.061568,9.05,44.59,0.663,3.239,7541.5
0.21,0.063145,17.42,38.44,0.779,3.716,7475.1
0.19,0.057309,15.0,36.6,0.78,4.097,3787.4
0.202,0.060694,20.26,38.3,0.761,3.774,3421.9
0.191,0.057374,10.78,41.19,0.767,4.024,3687.7
0.215,0.064692,9.3,45.78,0.764,3.555,6810.6
0.215,0.064856,16.31,42.2,0.758,3.517,3887.0
0.204,0.061299,19.97,36.94,0.686,3.371,3122.9
0.188,0.056572,9.81,40.45,0.718,3.819,3554.8
0.179,0.053927,12.71,37.29,0.703,3.923,3654.5
0.182,0.054821,15.12,34.2,0.809,4.441,3687.7
0.219,0.065892,21.06,41.87,0.802,3.665,5581.4
0.214,0.06428,18.28,40.94,0.903,4.227,3754.2
0.215,0.064729,21.28,40.85,0.793,3.687,4053.2
0.227,0.068463,10.5,48.09,0.848,3.73,3554.8
0.219,0.065963,5.84,47.4,0.776,3.542,3687.7
0.197,0.059195,6.86,41.65,0.808,4.11,3355.5
0.208,0.062462,14.28,43.87,0.907,4.372,3920.3
0.187,0.056306,6.59,39.76,0.738,3.944,3521.6
0.197,0.059149,15.37,38.15,0.817,4.159,3488.4
0.202,0.0608,16.27,39.57,0.844,4.18,3654.5
0.214,0.064493,20.92,40.82,0.851,3.97,3355.5
0.207,0.062361,20.73,39.21,0.824,3.976,3621.3
0.199,0.059846,20.2,37.21,0.779,3.918,3355.5
0.206,0.062133,7.92,44.08,0.771,3.736,4053.2
0.225,0.067673,16.28,42.37,0.749,3.329,3787.4
0.191,0.057636,14.23,37.44,0.743,3.878,3554.8
0.202,0.060855,18.28,37.0,0.875,4.326,3588.0
0.19,0.057271,14.92,39.97,0.723,3.8,3421.9
0.212,0.06393,19.61,40.44,0.771,3.629,5481.7
0.225,0.067805,23.73,39.76,0.869,3.86,7774.1
0.196,0.058897,18.21,37.4,0.764,3.905,3488.4
0.196,0.059084,15.31,37.81,0.828,4.217,2823.9
0.181,0.054448,9.94,38.7,0.744,4.114,4086.4
0.219,0.06577,13.94,45.1,0.83,3.797,3853.8
0.183,0.05513,6.74,39.95,0.642,3.507,3023.3
0.2,0.060303,17.18,38.18,0.782,3.902,3488.4
0.209,0.063003,17.85,40.24,0.885,4.227,3488.4
0.21,0.063183,12.9,42.14,0.768,3.659,3488.4
0.192,0.05785,17.45,37.13,0.794,4.131,3023.3
0.197,0.059416,19.33,36.79,0.758,3.839,4318.9
0.205,0.061681,15.64,40.1,0.785,3.831,3488.4
0.209,0.062924,9.22,43.31,0.784,3.752,4750.8
0.199,0.060043,20.61,37.71,0.765,3.837,3887.0
0.209,0.062849,13.09,42.6,0.797,3.815,4219.3
0.22,0.066084,15.96,45.29,0.907,4.129,3488.4
0.186,0.056007,13.92,36.4,0.763,4.099,3687.7
0.202,0.060865,14.54,39.51,0.877,4.337,3521.6
0.205,0.061568,14.48,40.51,0.79,3.864,2857.1
0.198,0.059514,14.07,39.24,0.868,4.388,3588.0
0.208,0.062748,14.26,40.88,0.986,4.729,3853.8
0.19,0.057124,13.31,37.32,0.739,3.894,3521.6
0.189,0.056962,13.39,37.45,0.805,4.253,3255.8
0.201,0.060456,18.89,38.1,0.84,4.183,3953.5
0.197,0.059152,17.22,37.3,0.883,4.493,4019.9
0.203,0.061024,11.46,43.27,0.807,3.979,3355.5
0.196,0.058946,20.96,36.33,0.784,4.004,3521.6
0.224,0.06744,14.02,46.01,0.836,3.733,3621.3
0.214,0.0644,22.57,39.56,0.798,3.731,3887.0
0.202,0.060871,16.78,38.45,0.865,4.28,3986.7
0.227,0.068257,19.67,42.71,0.877,3.868,7076.4
0.214,0.064396,6.16,46.13,0.821,3.838,5249.2
0.199,0.059828,15.69,38.28,0.798,4.017,3388.7
0.207,0.062255,8.57,44.02,0.877,4.241,3554.8
0.197,0.059432,7.33,42.61,0.83,4.203,3189.4
0.199,0.059763,14.35,38.97,0.776,3.911,3787.4
0.199,0.060027,14.5,38.66,0.834,4.184,2857.1
0.205,0.061731,19.04,36.87,0.87,4.243,4186.0
0.213,0.06401,21.75,40.16,0.826,3.886,4418.6
0.224,0.067311,18.68,41.05,0.946,4.229,3488.4
0.225,0.0678,20.65,42.39,0.958,4.254,3488.4
0.19,0.05729,13.21,38.62,0.706,3.71,3521.6
0.2,0.060093,20.94,37.29,0.802,4.018,3554.8
0.228,0.068751,21.4,43.41,0.954,4.177,3687.7
0.23,0.069285,6.58,50.19,0.798,3.469,6877.1
0.204,0.061434,15.01,40.26,0.801,3.926,3720.9
0.186,0.056103,12.89,39.97,0.775,4.158,3388.7
0.198,0.059575,13.84,39.1,0.806,4.073,4385.4
0.199,0.059757,18.35,38.52,0.788,3.97,3488.4
0.205,0.061681,12.78,41.64,0.854,4.165,4053.2
0.225,0.067808,20.36,42.32,1.027,4.559,4219.3
0.208,0.062516,20.03,39.87,0.891,4.291,3521.6
0.194,0.058492,19.57,36.71,0.808,4.16,4119.6
0.189,0.056741,15.85,36.44,0.87,4.615,3189.4
0.184,0.055395,13.8,36.37,0.72,3.914,3388.7
0.204,0.061531,16.05,39.83,0.835,4.083,3621.3
0.216,0.064913,18.31,42.39,0.882,4.092,3654.5
0.226,0.068114,16.39,46.72,0.898,3.97,8505.0
0.223,0.067158,17.09,44.38,0.825,3.699,3953.5
0.198,0.059499,14.43,41.05,0.761,3.852,3189.4
0.201,0.060559,15.73,37.59,0.708,3.521,4152.8
0.197,0.059229,13.16,39.53,0.788,4.006,3554.8
0.212,0.06377,18.83,40.87,0.868,4.098,4019.9
0.205,0.061702,17.4,39.36,0.837,4.082,3554.8
0.206,0.062155,15.8,41.48,0.899,4.354,3421.9
0.23,0.069162,14.92,46.96,0.77,3.351,3754.2
0.194,0.058427,20.39,36.47,0.833,4.292,3820.6
0.201,0.060474,19.16,37.96,0.865,4.307,3787.4
0.201,0.060609,18.48,38.46,0.83,4.123,3554.8
0.199,0.059789,8.74,42.38,0.889,4.474,3853.8
0.203,0.061126,18.02,38.91,0.797,3.926,3189.4
0.2,0.060327,20.96,37.93,0.791,3.944,2923.6
0.203,0.061059,14.75,39.95,0.816,4.021,3322.3
0.188,0.056627,6.04,40.33,0.704,3.743,3388.7
0.225,0.067642,6.8,47.93,0.856,3.809,3687.7
0.189,0.056748,8.92,40.17,0.686,3.637,3853.8
0.188,0.056482,7.51,40.45,0.754,4.016,3023.3
0.195,0.058556,19.79,36.31,0.757,3.89,3289.0
0.226,0.06792,21.07,41.64,0.794,3.519,7674.4
0.182,0.05475,11.05,38.3,0.679,3.732,4053.2
0.218,0.065527,19.28,41.36,0.894,4.108,3853.8
0.201,0.060545,17.24,38.45,0.812,4.037,3687.7
0.216,0.065082,20.36,41.1,0.865,4.002,4451.8
0.227,0.068195,12.41,47.1,0.849,3.749,3488.4
0.219,0.065948,12.19,44.32,0.865,3.948,3621.3
0.201,0.060571,18.12,38.36,0.82,4.076,3687.7
0.197,0.059226,17.44,37.72,0.776,3.942,3355.5
0.208,0.062546,20.03,39.04,0.873,4.203,3720.9
0.201,0.060648,14.91,39.41,0.785,3.897,3255.8
0.216,0.064914,8.08,45.37,0.805,3.734,8704.3
0.198,0.05963,15.74,38.05,0.793,4.002,4252.5
0.199,0.059778,19.37,37.31,0.798,4.019,3222.6
0.202,0.060786,10.01,40.59,0.671,3.324,3322.3
0.193,0.058002,15.91,36.89,0.731,3.796,3189.4
0.196,0.059079,17.03,37.32,0.804,4.098,3222.6
0.215,0.064601,21.16,39.52,0.827,3.855,4152.8
0.195,0.058664,19.86,36.26,0.777,3.984,3156.1
0.202,0.060836,15.9,38.94,0.844,4.175,3388.7
0.191,0.05749,16.66,36.19,0.829,4.34,3222.6
0.222,0.066733,13.79,45.95,0.832,3.752,3488.4
0.223,0.067097,24.05,39.16,0.902,4.045,3820.6
0.195,0.05872,18.78,37.06,0.792,4.06,3720.9
0.204,0.061286,17.42,39.51,0.799,3.926,4385.4
0.224,0.067296,20.72,41.33,0.747,3.343,3720.9
0.211,0.063388,22.58,36.57,1.071,5.087,7907.0
0.201,0.060394,15.7,38.0,0.776,3.869,3488.4
0.211,0.063414,19.12,39.25,0.822,3.902,3089.7
0.193,0.058227,12.24,37.71,0.773,3.998,3621.3
0.21,0.06324,21.59,39.29,0.803,3.823,3621.3
0.22,0.066342,23.68,36.9,0.772,3.502,5282.4
0.223,0.067043,9.05,46.64,0.892,4.004,3820.6
0.206,0.061926,6.39,44.35,0.69,3.356,5847.2
0.229,0.068785,21.55,42.35,0.943,4.127,3455.2
0.219,0.065864,14.86,45.07,0.808,3.694,5083.1
0.194,0.058298,21.34,35.32,0.815,4.209,3554.8
0.193,0.058027,16.96,36.5,0.762,3.955,3455.2
0.201,0.060598,14.22,38.98,0.81,4.025,3853.8
0.201,0.060629,14.31,38.92,0.727,3.608,3953.5
0.21,0.063155,18.46,38.95,0.855,4.074,3421.9
0.206,0.061995,17.93,39.9,0.796,3.863,9136.2
0.188,0.056495,14.16,35.59,0.79,4.207,3687.7
0.201,0.06044,13.88,42.12,0.851,4.238,3255.8
0.216,0.065017,16.11,41.12,0.832,3.85,3122.9
0.215,0.064605,19.22,40.8,0.849,3.957,4053.2
0.218,0.065481,19.91,41.16,0.935,4.297,3853.8
0.192,0.057683,14.94,36.64,0.829,4.325,4551.5
0.201,0.060438,13.5,39.56,0.793,3.951,7142.9
0.22,0.066256,11.13,45.21,0.836,3.797,4152.8
0.213,0.064187,7.52,44.9,0.824,3.865,3388.7
0.221,0.066444,6.15,47.78,0.799,3.618,6179.4
0.215,0.064566,18.18,40.21,0.797,3.717,3887.0
0.194,0.058358,14.86,37.14,0.806,4.159,3056.5
0.208,0.062679,14.78,40.43,0.83,3.987,6877.1
0.222,0.066686,18.26,43.67,0.862,3.89,3455.2
0.19,0.057165,15.13,36.52,0.794,4.182,3488.4
0.221,0.066603,14.6,45.03,0.798,3.605,3920.3
0.229,0.068879,14.12,46.24,0.859,3.754,3654.5
0.229,0.068965,10.08,49.37,0.776,3.385,10099.7
0.218,0.065476,18.2,43.36,0.833,3.829,4451.8
0.209,0.062966,22.45,37.55,0.888,4.244,3687.7
0.186,0.056123,7.4,39.13,0.821,4.404,3421.9
0.204,0.061345,13.17,40.79,0.977,4.792,4152.8
0.214,0.064361,14.18,41.71,0.775,3.626,4485.0
0.22,0.06614,6.93,47.86,0.941,4.283,4119.6
0.198,0.059495,16.51,37.34,0.781,3.953,3222.6
0.206,0.062071,4.87,44.71,0.933,4.524,5614.6
0.226,0.068133,18.83,44.82,0.873,3.857,3986.7
0.23,0.069149,15.86,45.55,0.839,3.65,5315.6
0.205,0.06158,16.48,39.44,0.866,4.232,3255.8
0.201,0.060351,15.08,40.18,0.742,3.701,3488.4
0.221,0.066638,7.79,46.17,0.842,3.805,10332.2
0.209,0.062938,9.54,44.79,0.832,3.977,3754.2
0.195,0.058581,16.94,36.4,0.863,4.433,4119.6
0.21,0.063218,5.28,45.62,0.86,4.095,3455.1
0.204,0.061258,18.19,37.97,0.765,3.758,3588.0
0.186,0.055902,14.15,35.78,0.769,4.141,3289.0
0.202,0.060882,14.56,38.84,0.841,4.16,4019.9
0.203,0.061049,21.29,37.12,0.864,4.26,3887.0
0.218,0.065654,9.75,44.42,0.819,3.756,4717.6
0.208,0.062619,6.1,45.45,0.721,3.464,3388.7
0.202,0.06078,18.35,37.75,0.799,3.957,3887.0
0.196,0.059018,18.25,37.05,0.821,4.186,3887.0
0.192,0.057885,17.56,35.96,0.857,4.454,3986.7
0.191,0.057376,16.52,36.54,0.811,4.256,3488.4
0.195,0.058756,19.12,36.45,0.808,4.139,3156.1
0.224,0.067539,7.39,46.22,0.79,3.52,4152.8
0.227,0.06819,16.08,44.88,0.787,3.476,3488.4
0.191,0.057507,13.8,37.32,0.894,4.68,3754.1
0.205,0.061695,14.61,40.15,0.901,4.396,4019.9
0.228,0.068636,8.01,47.79,0.833,3.652,5880.4
0.191,0.057514,17.47,36.36,0.795,4.163,4053.2
0.195,0.058772,16.71,37.06,0.834,4.273,3621.3
0.194,0.058541,5.68,41.79,0.788,4.05,2990.0
0.207,0.062433,4.23,46.69,0.867,4.181,3887.0
0.196,0.058869,7.91,42.04,0.819,4.19,3322.3
0.176,0.052899,11.91,35.66,0.847,4.818,3122.9
0.203,0.061055,6.02,44.73,0.844,4.162,3156.1
0.19,0.057265,8.58,39.46,0.712,3.745,4451.8
0.186,0.055897,12.14,37.83,0.762,4.102,3156.1
0.209,0.062766,10.03,44.48,0.892,4.276,3388.7
0.223,0.067269,6.72,48.84,1.063,4.755,3222.6
0.197,0.059371,5.23,43.32,0.81,4.105,3156.1
0.196,0.05887,7.14,42.77,0.792,4.051,3853.8
0.209,0.062773,11.96,44.13,0.898,4.306,3654.5
0.172,0.051669,9.29,36.46,0.795,4.633,2890.4
0.186,0.056117,11.0,38.78,0.742,3.977,4451.8
0.164,0.049497,8.33,35.19,0.626,3.805,3289.0
0.211,0.063392,6.74,44.22,0.926,4.398,3787.4
0.19,0.057193,9.03,40.54,0.787,4.14,3853.8
0.211,0.063371,14.05,42.1,0.884,4.197,3455.1
0.201,0.060542,6.52,43.85,0.778,3.867,3056.5
0.198,0.05955,6.59,42.62,0.801,4.05,3289.0
0.226,0.068103,6.39,49.14,1.101,4.866,11893.7
0.199,0.059792,9.04,42.58,0.822,4.139,2890.4
0.186,0.05586,9.26,39.59,0.881,4.749,3720.9
0.219,0.065856,-14.17,46.09,0.741,3.388,3554.8
0.204,0.061363,-18.95,39.87,0.95,4.658,3820.6
0.178,0.053489,-11.92,36.48,0.722,4.063,3521.6
0.179,0.053885,-11.08,39.92,0.658,3.677,3255.8
0.174,0.052486,-9.29,37.63,0.691,3.962,3521.6
0.202,0.060775,2.59,45.86,0.899,4.454,4219.3
0.166,0.049854,-14.35,33.88,0.713,4.302,3554.8
0.199,0.059978,-18.58,38.57,0.915,4.594,2823.9
0.201,0.060377,-10.42,42.35,0.853,4.253,4086.4
0.167,0.050395,-3.84,38.72,0.723,4.318,3488.4
0.166,0.049872,-16.78,30.81,0.673,4.06,3222.6
0.175,0.052705,-7.95,39.99,0.775,4.428,3687.7
0.187,0.056178,-12.74,39.25,0.827,4.434,2990.0
0.18,0.05426,-3.84,42.15,0.798,4.425,4717.6
0.175,0.05261,-5.6,40.48,0.816,4.666,3754.2
0.184,0.0554,-8.52,40.51,0.806,4.378,3521.6
0.191,0.057465,-8.21,42.82,0.842,4.412,4019.9
0.19,0.057253,-11.92,39.13,0.836,4.396,3754.1
0.189,0.056812,-4.67,44.51,0.849,4.499,3455.2
0.187,0.056184,-12.69,37.9,0.809,4.334,2724.3
0.192,0.057865,-12.15,38.67,0.785,4.083,3388.7
0.176,0.053092,-9.93,36.97,0.679,3.849,2790.7
0.179,0.053744,-4.03,41.28,0.866,4.849,3654.5
0.165,0.049531,-7.46,36.06,0.682,4.145,3554.8
0.171,0.051576,-9.91,35.69,0.794,4.635,3621.3
0.193,0.057952,-7.46,40.6,0.832,4.32,4750.8
0.192,0.057834,-7.59,41.36,0.822,4.279,3554.8
0.174,0.052506,-5.5,39.7,0.734,4.206,3156.1
0.174,0.052479,-5.8,39.92,0.777,4.456,4551.5
0.19,0.057076,-8.64,41.74,0.915,4.824,3521.6
0.166,0.050097,-11.73,36.11,0.726,4.364,4584.7
0.196,0.059065,-11.35,42.45,0.818,4.167,3488.4
0.17,0.051037,-10.21,35.77,0.696,4.105,3421.9
0.177,0.053159,-8.3,36.96,0.785,4.446,5083.1
0.188,0.056522,-9.62,40.13,0.812,4.327,3289.0
0.188,0.056725,-9.81,41.82,0.883,4.688,6611.3
0.19,0.057179,-12.53,39.17,0.925,4.868,3820.6
0.199,0.059869,-12.49,41.92,1.064,5.349,5116.3
0.167,0.05032,-8.74,36.4,0.911,5.451,5049.8
0.17,0.051068,-16.78,32.24,0.75,4.423,3853.8
0.2,0.060145,-18.84,39.19,0.793,3.968,4385.4
0.167,0.050327,-17.29,31.8,0.792,4.738,3554.8
0.19,0.057261,-19.69,36.09,0.724,3.808,3421.9
0.162,0.048689,-15.47,31.04,0.729,4.508,3887.0
0.16,0.048231,-8.51,35.07,0.753,4.701,3355.5
0.188,0.056561,-16.07,37.75,0.718,3.82,5780.7
0.191,0.057518,-19.84,36.15,0.797,4.172,3754.1
0.18,0.054195,-3.06,39.31,0.726,4.031,3986.7
0.188,0.056669,-8.09,39.39,0.788,4.183,3920.3
0.167,0.050324,-14.09,32.76,0.746,4.463,3687.7
0.167,0.050232,-13.4,32.32,0.719,4.309,3023.3
0.216,0.065159,-17.75,41.94,0.805,3.717,4086.4
0.182,0.054646,-20.36,34.15,0.772,4.255,4152.8
0.21,0.06332,-7.75,46.9,0.82,3.9,3720.9
0.19,0.057079,-18.09,36.66,0.871,4.591,3887.0
0.199,0.060017,-24.77,35.64,0.889,4.46,8305.6
0.184,0.055348,-17.57,36.36,0.86,4.678,5016.6
0.18,0.054316,-20.19,34.13,0.743,4.117,4551.5
0.205,0.061723,-31.33,34.19,0.856,4.173,4053.2
0.186,0.056011,-17.98,36.14,0.782,4.2,3621.3
0.191,0.057627,-11.06,41.55,0.84,4.386,3654.5
0.217,0.065227,-8.72,42.93,0.863,3.981,4750.8
0.192,0.057672,-14.24,39.32,0.824,4.301,3920.3
0.185,0.055593,-20.96,34.63,0.736,3.987,3488.4
0.189,0.05703,-18.97,36.3,0.791,4.175,3754.2
0.178,0.053543,-0.63,38.53,0.695,3.907,6644.5
0.2,0.06012,-13.36,42.55,0.932,4.669,3720.9
0.218,0.065532,-4.65,49.75,0.816,3.746,6179.4
0.177,0.05326,-13.34,37.77,0.838,4.735,3554.8
0.2,0.060112,-11.16,44.58,0.799,3.999,4152.8
0.206,0.061877,-23.16,39.03,0.891,4.333,3521.6
0.199,0.060037,-12.03,41.91,0.814,4.079,3986.7
0.186,0.055954,-18.42,35.79,0.791,4.255,4152.8
0.165,0.04962,-13.33,32.3,0.834,5.06,4186.0
0.203,0.0611,-11.51,40.95,0.82,4.039,4086.4
0.213,0.064051,-14.54,47.08,0.824,3.872,3820.6
0.19,0.057165,-5.57,40.97,0.713,3.755,4717.6
0.201,0.060409,-19.17,39.49,0.903,4.498,3887.0
0.209,0.062949,-22.06,40.09,0.807,3.857,4186.0
0.201,0.060604,-14.29,41.44,0.809,4.02,3588.0
0.192,0.057711,-20.07,37.4,0.788,4.111,3588.0
0.223,0.066996,-15.03,45.74,0.73,3.28,3488.4
0.196,0.059113,-15.97,40.02,0.883,4.499,3654.5
0.179,0.053919,-15.13,35.8,0.74,4.129,4252.5
0.217,0.065255,-19.35,44.5,0.967,4.458,4551.5
0.175,0.052764,-0.74,38.74,0.75,4.279,3322.3
0.218,0.065677,-7.45,47.69,0.955,4.376,10764.1
0.211,0.063383,-20.4,42.32,0.822,3.904,5249.2
0.192,0.057892,-20.07,37.43,0.818,4.251,3986.7
0.202,0.060825,-20.89,38.77,0.944,4.672,3588.0
0.22,0.066286,-16.74,44.21,0.922,4.187,3953.5
0.21,0.063197,-24.44,40.15,0.904,4.304,3820.6
0.217,0.06524,-23.09,42.85,0.885,4.081,3986.7
0.188,0.05649,-17.72,37.27,0.944,5.029,4086.4
0.197,0.059356,-16.59,39.84,0.761,3.86,3720.9
0.191,0.057434,-16.06,38.92,0.823,4.311,3222.6
0.188,0.05647,-17.07,36.98,0.829,4.419,3255.8
0.22,0.066176,-16.64,43.34,0.919,4.182,3687.7
0.214,0.064291,-7.67,48.27,1.118,5.236,4019.9
0.188,0.056681,-12.43,40.27,0.862,4.577,3953.5
0.211,0.06343,-6.52,47.46,0.879,4.173,4019.9
0.221,0.066521,-21.01,42.24,0.935,4.231,3787.4
0.219,0.065867,-15.69,44.44,0.984,4.496,4684.4
0.217,0.065305,-23.92,40.51,0.938,4.323,3920.3
0.199,0.059834,-5.46,41.1,0.766,3.854,4285.7
0.215,0.064779,-12.09,47.64,0.872,4.05,4850.5
0.193,0.058123,-15.17,37.69,0.915,4.741,3787.4
0.213,0.064103,-17.29,41.86,1.062,4.988,4352.2
0.206,0.061956,-16.34,39.8,0.832,4.043,3322.3
0.203,0.06109,-21.66,37.74,0.749,3.689,3986.7
0.179,0.053879,-16.87,34.36,0.806,4.502,3654.5
0.21,0.063101,-18.41,40.32,0.919,4.385,3355.5
0.217,0.065301,-20.8,41.78,1.082,4.985,4186.1
0.2,0.060114,-14.96,41.12,0.878,4.397,4750.8
0.179,0.053986,-3.14,39.2,0.797,4.442,4883.7
0.179,0.053758,-12.34,36.11,0.868,4.857,3388.7
0.168,0.050558,-7.86,36.57,0.731,4.354,4053.2
0.18,0.0543,-6.26,40.25,0.769,4.261,2990.0
0.177,0.053149,-8.06,38.02,0.784,4.442,3255.8
0.184,0.055506,-7.82,39.46,0.809,4.389,3322.3
0.169,0.050928,-10.51,35.65,0.75,4.432,3754.2
