Vrms_current,Vrms,Irms,P,S,PF
0.0538,228.6,0.166,7.046,37.949,0.186
0.0541,223.4,0.167,8.593,37.33,0.23
0.0538,226.1,0.166,7.943,37.57,0.211
0.0533,222.8,0.164,9.121,36.618,0.249
0.0539,228.2,0.166,6.427,37.975,0.169
0.0587,229.2,0.181,7.24,41.528,0.174
0.0517,228.1,0.159,6.65,36.366,0.183
0.0545,225,0.168,7.333,37.877,0.194
0.0541,222.2,0.167,8.516,37.126,0.229
0.0539,228.7,0.166,5.529,38.069,0.145
0.0552,222.3,0.17,8.284,37.89,0.219
0.0533,225.1,0.165,7.359,37.038,0.199
0.0542,222.5,0.167,8.014,37.207,0.215
0.0532,221.2,0.164,8.606,36.355,0.237
0.0526,227.5,0.162,6.402,36.947,0.173
0.0546,219.7,0.169,9.143,37.041,0.247
0.0538,224.6,0.166,8.027,37.315,0.215
0.0528,220.5,0.163,8.897,35.941,0.248
0.0543,225.1,0.168,7.457,37.71,0.198
0.0528,225.9,0.163,7.097,36.845,0.193
0.0542,220.1,0.167,9.441,36.831,0.256
0.0508,226.1,0.157,7.593,35.462,0.214
0.0605,220.1,0.187,13.412,41.113,0.326
0.0644,229.6,0.214,8.921,49.117,0.182
0.0619,221.1,0.206,14.001,45.469,0.308
0.0614,226.1,0.204,11.221,46.12,0.243
0.0543,222.4,0.168,11.505,37.262,0.309
0.0564,227.3,0.174,10.625,39.538,0.269
0.0534,220.9,0.165,8.736,36.437,0.24
0.051,226.2,0.157,7.341,35.596,0.206
0.0523,222.2,0.162,8.851,35.898,0.247
0.0535,223.6,0.165,8.285,36.897,0.225
0.0573,229.4,0.177,4.822,40.544,0.119
0.0546,224.5,0.169,7.988,37.832,0.211
0.0531,223.6,0.164,8.288,36.682,0.226
0.0535,226.3,0.165,7.401,37.368,0.198
0.0564,221.5,0.174,7.926,38.537,0.206
0.0536,224.2,0.165,8.066,37.063,0.218
0.0522,225.8,0.161,6.849,36.372,0.188
0.0572,219.4,0.177,10.881,38.751,0.281
0.0533,222.3,0.165,8.341,36.597,0.228
0.0545,221.6,0.168,8.578,37.288,0.23
0.0522,227.7,0.161,6.73,36.715,0.183
0.0549,222.7,0.169,8.801,37.739,0.233
0.0533,223.5,0.165,7.94,36.76,0.216
0.0563,227.1,0.174,6.042,39.469,0.153
0.0581,221.7,0.179,7.67,39.748,0.193
0.0539,225.8,0.166,7.21,37.542,0.192
0.0564,219.3,0.174,9.415,38.209,0.246
0.0576,221.3,0.178,8.665,39.335,0.22
